产品代码,产品类型,计算模式,周期,最大回撤,贝塔,回撤修复,年化波动率,下行风险,防守能力,同类平均最大回撤,同类平均贝塔,同类平均回撤修复,同类平均年化波动率,同类平均下行风险,同类平均防守能力,沪深300最大回撤,沪深300贝塔,沪深300回撤修复,沪深300年化波动率,沪深300下行风险,沪深300防守能力,最大回撤排名,贝塔排名,回撤修复排名,年化波动率排名,下行风险排名,防守能力排名
1911673853862653954,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911673853862653954,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911673853862653954,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911673853862653954,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911673853862653954,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911673853862653954,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1909125025468952578,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1909125025468952578,1,自然日,近 2 年,-0.00%,0.00%,--,0.00%,--,100.00%,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,5/87名,1/87名,--,1/87名,--,1/87名
1909125025468952578,1,自然日,近 3 年,-0.00%,0.00%,--,0.00%,--,100.00%,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,6/87名,1/87名,--,1/87名,--,1/87名
1909125025468952578,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1909125025468952578,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1909125025468952578,1,自然日,成立以来,-0.88%,-0.16%,--,0.44%,0.65%,99.50%,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,8/20名,1/20名,--,1/20名,1/20名,1/20名
1914555068831674369,1,自然日,近 1 年,--,--,--,--,--,--,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,--,--,--,--,--,--
1914555068831674369,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1914555068831674369,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1914555068831674369,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1914555068831674369,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1914555068831674369,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1743257550878588929,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1743257550878588929,1,自然日,近 2 年,-0.00%,0.00%,--,0.00%,--,100.00%,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,5/87名,1/87名,--,1/87名,--,1/87名
1743257550878588929,1,自然日,近 3 年,-0.00%,0.00%,--,0.00%,--,100.00%,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,6/87名,1/87名,--,1/87名,--,1/87名
1743257550878588929,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1743257550878588929,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1743257550878588929,1,自然日,成立以来,-19.71%,17.21%,--,6.68%,11.40%,83.03%,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,3/20名,4/20名,--,3/20名,3/20名,4/20名
1912327016240295937,1,自然日,近 1 年,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,7/92名,1/92名,--,69/92名,1/92名,77/92名
1912327016240295937,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912327016240295937,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912327016240295937,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912327016240295937,1,自然日,今年以来,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,2/104名,--,73/104名,2/104名,73/104名
1912327016240295937,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1904440877445722114,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1904440877445722114,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1904440877445722114,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1904440877445722114,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1904440877445722114,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1904440877445722114,1,自然日,成立以来,-0.00%,0.00%,--,0.00%,--,100.00%,-14.84%,21.70%,77天,13.13%,19.21%,80.52%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,14/92名,2/92名,--,1/92名,--,1/92名
1910608883217510402,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910608883217510402,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910608883217510402,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910608883217510402,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910608883217510402,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910608883217510402,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912789437165776897,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912789437165776897,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912789437165776897,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912789437165776897,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912789437165776897,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912789437165776897,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911677945284571138,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,17/92名,79/92名,--,79/92名,11/92名,69/92名
1911677945284571138,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911677945284571138,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911677945284571138,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911677945284571138,1,自然日,今年以来,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,28/104名,1/104名,--,72/104名,1/104名,72/104名
1911677945284571138,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912787024962826242,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912787024962826242,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912787024962826242,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912787024962826242,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912787024962826242,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912787024962826242,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1733070534534680577,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1733070534534680577,1,自然日,近 2 年,-0.00%,0.00%,--,0.00%,--,100.00%,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,5/87名,1/87名,--,1/87名,--,1/87名
1733070534534680577,1,自然日,近 3 年,-1.82%,0.12%,--,1.05%,--,99.30%,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,5/87名,8/87名,--,8/87名,--,8/87名
1733070534534680577,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1733070534534680577,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1733070534534680577,1,自然日,成立以来,-6.43%,6.34%,56天,4.08%,12.20%,96.48%,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,8/30名,2/30名,1/30名,2/30名,5/30名,2/30名
1912786986530418689,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912786986530418689,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912786986530418689,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912786986530418689,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912786986530418689,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912786986530418689,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912787028012085250,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912787028012085250,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912787028012085250,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912787028012085250,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912787028012085250,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912787028012085250,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912824128862334978,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912824128862334978,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912824128862334978,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912824128862334978,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912824128862334978,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912824128862334978,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912791810462363650,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912791810462363650,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912791810462363650,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912791810462363650,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912791810462363650,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912791810462363650,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910234879856128002,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910234879856128002,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910234879856128002,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910234879856128002,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910234879856128002,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910234879856128002,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911678790562656258,1,自然日,近 1 年,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,7/92名,4/92名,--,69/92名,1/92名,70/92名
1911678790562656258,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911678790562656258,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911678790562656258,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911678790562656258,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,76/104名,--,73/104名,2/104名,76/104名
1911678790562656258,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910601882257240065,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910601882257240065,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910601882257240065,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910601882257240065,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910601882257240065,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910601882257240065,1,自然日,成立以来,--,--,--,--,--,--,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912791163788767233,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912791163788767233,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912791163788767233,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912791163788767233,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912791163788767233,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912791163788767233,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910305124046254082,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910305124046254082,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910305124046254082,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910305124046254082,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910305124046254082,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910305124046254082,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912787088879824897,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912787088879824897,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
